run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,HEATHROW,BA EUROFLYER LTD DBA BRITISH AIRWAYS,A,S,1,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,HEATHROW,BA EUROFLYER LTD DBA BRITISH AIRWAYS,D,S,1,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,A,S,168,0,7,10.285714,43.428571,25.142857,6.857143,6.285714,2.857143,0.571429,0.571429,0.000000,0.000000,4.000000,11,188,86.170213,5
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,D,S,168,0,7,4.000000,64.000000,18.857143,4.000000,3.428571,1.142857,0.000000,0.000000,0.571429,0.000000,4.000000,10,188,88.829787,7
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,HEATHROW,LOGANAIR LTD,A,S,1,0,2,0.000000,0.000000,0.000000,33.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,22,1,100.000000,0
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,A,S,22,0,0,4.545455,27.272727,31.818182,13.636364,22.727273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,22,77.272727,23
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,D,S,22,0,0,4.545455,22.727273,36.363636,4.545455,22.727273,4.545455,0.000000,4.545455,0.000000,0.000000,0.000000,26,22,81.818182,22
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,A,S,62,0,0,9.677419,46.774194,30.645161,8.064516,1.612903,1.612903,1.612903,0.000000,0.000000,0.000000,0.000000,8,84,96.428571,2
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,D,S,66,0,0,1.515152,57.575758,37.878788,3.030303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,68,98.529412,0
15/07/2026 18:05,202605,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,A,S,20,0,0,0.000000,40.000000,25.000000,25.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,6,100.000000,0
